timestamp,experiment_id,notes,filters,img_size,batch_size,epochs_run,lr_initial,dropout,train_samples,test_samples,classes,best_val_acc,best_val_loss,final_train_acc,final_train_loss,tflite_size_kb,pi_fps,angry_precision,angry_recall,angry_f1,happy_precision,happy_recall,happy_f1,sad_precision,sad_recall,sad_f1,neutral_precision,neutral_recall,neutral_f1,macro_f1,weighted_f1,overall_accuracy,conf_matrix_flat
2026-04-27 21:27:02,exp_20260427_212702,,32/64/128,48,15,31,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.5517,1.0706,0.7113,0.7153,1255.9,0.0,0.5296,0.5726,0.5503,0.8872,0.5619,0.688,0.4292,0.4762,0.4515,0.5188,0.6078,0.5598,0.5624,0.5621,0.5548,"[134, 7, 56, 37, 35, 118, 34, 23, 52, 3, 100, 55, 32, 5, 43, 124]"
2026-04-27 21:38:20,exp_20260427_213820,,32/64/128,48,15,31,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.5529,1.0687,0.6852,0.7533,1255.9,0.0,0.5165,0.5342,0.5252,0.6681,0.7571,0.7098,0.4714,0.3143,0.3771,0.5,0.5833,0.5385,0.5377,0.5373,0.5466,"[125, 33, 36, 40, 24, 159, 10, 17, 60, 22, 66, 62, 33, 24, 28, 119]"
2026-04-27 21:38:33,exp_20260427_213833,,32/64/128,48,15,30,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.5437,1.0751,0.7093,0.729,1255.9,0.0,0.5165,0.5342,0.5252,0.6681,0.7571,0.7098,0.4714,0.3143,0.3771,0.5,0.5833,0.5385,0.5377,0.5373,0.5466,"[125, 33, 36, 40, 24, 159, 10, 17, 60, 22, 66, 62, 33, 24, 28, 119]"
2026-04-27 21:51:22,exp_20260427_215122,,64/128/256,48,15,31,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.5552,1.0762,0.803,0.5265,1255.9,0.0,0.5904,0.4744,0.5261,0.7624,0.6571,0.7059,0.4463,0.3762,0.4083,0.4712,0.7206,0.5698,0.5525,0.5516,0.5536,"[111, 18, 47, 58, 22, 138, 21, 29, 40, 13, 79, 78, 15, 12, 30, 147]"
2026-04-28 07:52:51,exp_20260428_075251,,32/64/128,48,15,39,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.554,1.0791,0.7411,0.6561,1255.9,0.0,0.5743,0.4957,0.5321,0.6625,0.7571,0.7067,0.4323,0.4714,0.451,0.5561,0.5098,0.532,0.5554,0.555,0.5571,"[116, 33, 59, 26, 14, 159, 23, 14, 46, 22, 99, 43, 26, 26, 48, 104]"
2026-05-03 17:27:42,exp_20260503_172742,,32/64/128,48,15,50,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.577,1.073,0.8118,0.5035,1255.9,0.0,0.5145,0.6068,0.5569,0.7667,0.7667,0.7667,0.5,0.3238,0.3931,0.5381,0.6225,0.5773,0.5735,0.573,0.5804,"[142, 19, 34, 39, 20, 161, 13, 16, 75, 13, 68, 54, 39, 17, 21, 127]"
2026-05-03 21:39:00,exp_20260503_213900,,32/64/128,48,15,61,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.5724,1.0419,0.8358,0.4359,1255.9,0.0,0.4913,0.6068,0.543,0.7173,0.8095,0.7606,0.6456,0.2429,0.3529,0.502,0.6225,0.5558,0.5531,0.5528,0.5711,"[142, 31, 18, 43, 20, 170, 1, 19, 80, 15, 51, 64, 47, 21, 9, 127]"
2026-05-03 21:56:52,exp_20260503_215652,,32/64/128,48,15,46,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.5644,1.1091,0.8741,0.3483,1255.9,0.0,0.5488,0.5043,0.5256,0.7656,0.7,0.7313,0.5137,0.3571,0.4213,0.4689,0.701,0.5619,0.56,0.5591,0.5629,"[118, 19, 36, 61, 22, 147, 11, 30, 47, 17, 75, 71, 28, 9, 24, 143]"
2026-05-03 22:03:15,exp_20260503_220315,,32/64/128,48,15,70,0.001,0.25/0.5,unknown,unknown,angry|happy|sad|neutral,0.554,1.0378,0.592,0.9584,2682.2,0.0,0.6165,0.3504,0.4469,0.7525,0.7095,0.7304,0.4196,0.5714,0.4839,0.527,0.6225,0.5708,0.558,0.5548,0.5571,"[82, 29, 81, 42, 14, 149, 30, 17, 29, 6, 120, 55, 8, 14, 55, 127]"
